0, -57.0
1, -76.0
2, 151
3, -35.0
4, -41.0
5, 118
6, -74.0
7, -44.0
8, 225
9, 219
10, 200
11, 194
12, 191
13, -99.0
14, -23.0
15, -13.0
16, 166
17, -73.0
18, -41.0
19, 169
20, -39.0
21, -66.0
22, 108
23, 282
24, 182
25, -87.0
26, -89.0
27, -44.0
28, 274
29, -92.0
30, -23.0
31, 101
32, -28.0
33, 202
34, -69.0
35, 314
36, -56.0
37, -87.0
38, 112
39, -45.0
40, 152
41, 149
42, -82.0
43, -11.0
44, -5.0
45, -80.0
46, 151
47, 279
48, 222
49, 169
50, -48.0
51, -18.0
52, -41.0
53, 139
54, 121
55, 252
56, -7.0
57, 309
58, 142
59, -47.0
60, 237
61, -56.0
62, -57.0
63, 164
64, -94.0
65, 313
66, 145
67, -41.0
68, -39.0
69, 172
70, 168
71, 144
72, -18.0
73, 211
74, -32.0
75, -42.0
